date,salt,ols,lr
2015-11-01,100.21,68.54610000000002,100.68725024114596
2015-12-01,100.51,67.67200000000003,100.68332677071373
2016-01-01,99.89,66.7979,100.67940330028152
2016-02-01,99.91,65.9238,100.67547982984931
2016-03-01,100.19,65.0497,100.67155635941708
2016-04-01,100.45,64.1756,100.66763288898487
2016-05-01,100.44,63.301500000000004,100.66370941855266
2016-06-01,100.13,62.427400000000006,100.65978594812043
2016-07-01,100.05,61.55330000000001,100.65586247768822
2016-08-01,100.12,60.67920000000001,100.65193900725599
2016-09-01,100.45,59.80510000000001,100.64801553682378
2016-10-01,100.62,58.93100000000001,100.64409206639156
2016-11-01,100.23,58.05690000000001,100.64016859595934
2016-12-01,99.59,57.182800000000015,100.63624512552713
2017-01-01,100.09,56.308700000000016,100.63232165509491
2017-02-01,100.05,55.43460000000002,100.62839818466269
2017-03-01,99.85,54.56050000000002,100.62447471423047
2017-04-01,99.97,53.68640000000002,100.62055124379825
2017-05-01,100.01,52.81230000000002,100.61662777336603
2017-06-01,100.31,51.93820000000002,100.61270430293382
2017-07-01,100.29,51.064100000000025,100.6087808325016
2017-08-01,100.09,50.190000000000026,100.60485736206938
2017-09-01,100.05,49.3159,100.60093389163717
2017-10-01,100.37,48.4418,100.59701042120494
2017-11-01,100.15,47.5677,100.59308695077273
2017-12-01,100.08,46.6936,100.5891634803405
2018-01-01,100.2,45.819500000000005,100.58524000990829
2018-02-01,100.42,44.94540000000001,100.58131653947608
2018-03-01,100.23,44.07130000000001,100.57739306904385
2018-04-01,100.3,43.19720000000001,100.57346959861164
2018-05-01,99.99,42.32310000000001,100.56954612817941
2018-06-01,99.73,41.44900000000001,100.5656226577472
2018-07-01,99.89,40.574900000000014,100.56169918731499
2018-08-01,99.97,39.700800000000015,100.55777571688276
2018-09-01,100.61,38.82670000000002,100.55385224645055
2018-10-01,100.19,37.95260000000002,100.54992877601833
2018-11-01,100.66,37.07850000000002,100.5460053055861
2018-12-01,100.85,36.20440000000002,100.5420818351539
2019-01-01,100.6,35.33030000000002,100.53815836472167
2019-02-01,100.46,34.456200000000024,100.53423489428945
2019-03-01,100.85,33.582100000000025,100.53031142385724
2019-04-01,100.74,32.708,100.52638795342502
2019-05-01,100.47,31.8339,100.5224644829928
2019-06-01,100.45,30.9598,100.51854101256059
2019-07-01,100.37,30.085700000000003,100.51461754212836
2019-08-01,100.17,29.211600000000004,100.51069407169615
2019-09-01,100.3,28.337500000000006,100.50677060126392
2019-10-01,100.25,27.463400000000007,100.50284713083171
2019-11-01,99.83,26.58930000000001,100.4989236603995
2019-12-01,100.01,25.71520000000001,100.49500018996727
2020-01-01,100.15,24.84110000000001,100.49107671953506
2020-02-01,100.16,23.967000000000013,100.48715324910283
2020-03-01,101.21,23.092900000000014,100.48322977867062
2020-04-01,101.21,22.218800000000016,100.4793063082384
2020-05-01,100.77,21.344700000000017,100.47538283780618
2020-06-01,101.02,20.47060000000002,100.47145936737397
2020-07-01,100.77,19.59650000000002,100.46753589694175
2020-08-01,100.23,18.72240000000002,100.46361242650953
2020-09-01,99.83,17.848300000000023,100.45968895607731
2020-10-01,100.03,16.974200000000025,100.45576548564509
2020-11-01,99.97,16.100100000000026,100.45184201521288
2020-12-01,99.82,15.225999999999999,100.44791854478066
2021-01-01,100.16,14.3519,100.44399507434844
2021-02-01,99.48,13.477800000000002,100.44007160391622
2021-03-01,100.12,12.603700000000003,100.43614813348401
2021-04-01,100.59,11.729600000000005,100.43222466305178
2021-05-01,100.31,10.855500000000006,100.42830119261957
2021-06-01,100.36,9.981400000000008,100.42437772218734
2021-07-01,100.84,9.10730000000001,100.42045425175513
2021-08-01,100.99,8.23320000000001,100.41653078132292
2021-09-01,100.48,7.359100000000012,100.41260731089069
